cod_cliente,nm_cliente,nm_pais_cliente,nm_cidade_cliente,nm_rua_cliente,num_casa_cliente,num_telefone_cliente,dt_nascimento_cliente,dt_atualizacao,tp_pessoa,vl_renda,anomesdia
2,APRIL SANDOVAL,United States of America,Dianaburgh,Brian Inlet,2721,(82)23630-7260,1958-08-19,2025-01-27,PF,9185.91,20260710
5,APRIL SHAW,Sri Lanka,Lindaville,Brad Vista,13916,(83)25671-9895,1982-07-22,2025-03-06,PF,3131.33,20260710
6,DANIEL PETERSON,Slovenia,Bernardville,Jackson Park,6322,(13)84530-9656,1964-11-06,2025-03-25,PJ,30982.69,20260710
7,MICHAEL WEISS,French Guiana,Harttown,Stacy Keys,7546,(68)43165-3031,1959-10-20,2024-09-07,PJ,42579.02,20260710
8,KATHLEEN WILSON,Tokelau,Lake Benjaminview,Hammond Gateway,4204,(52)47386-5738,1962-12-17,2025-02-21,PF,4268.99,20260710
16,JEANETTE PETERSON,Timor-Leste,South Teresashire,Dylan Common,2402,(23)45478-8923,1992-12-21,2024-08-14,PF,8023.50,20260710
17,JILL AVERY,Micronesia,Torresview,Collins Road,370,(97)68049-8598,1971-02-10,2024-08-19,PJ,86851.53,20260710
18,MICHELLE HOWARD,Western Sahara,North Richardfurt,Michael Islands,6436,(73)40000-1019,1998-09-06,2025-02-28,PF,4103.78,20260710
19,GEORGE LOPEZ,Tanzania,Davidfurt,Jerry Alley,6752,(53)12959-3727,1991-08-14,2024-06-13,PJ,44115.16,20260710
25,JUSTIN CHAVEZ,Poland,New Troystad,Micheal Square,520,(82)88290-5778,1982-07-07,2024-08-02,PJ,22609.21,20260710
30,JEFFREY WEISS,Mayotte,West Jamesbury,Moran Junction,93588,(79)20205-3974,1996-01-03,2025-03-10,PJ,98698.60,20260710
31,DOMINIC RICHARDS,Iran,Port Wayneburgh,Alicia Well,42833,,1981-09-06,2025-02-15,PJ,73652.38,20260710
33,KEVIN TURNER,Bahamas,East Victoria,Barnes Walks,3439,(45)81688-7869,1989-05-09,2024-11-28,PF,9687.22,20260710
35,LOGAN DELGADO,British Indian Ocean Territory (Chagos Archipelago),Martinburgh,Dodson Villages,710,,1985-07-14,2024-05-25,PF,6029.84,20260710
36,AMBER DAVILA,Grenada,North Karenburgh,Monica Mountains,31798,(98)41437-3084,1946-02-27,2025-02-01,PJ,53788.52,20260710
37,CATHERINE LOGAN,Haiti,New Brandon,Tracy Passage,62690,(15)28293-8862,1946-05-03,2024-05-06,PF,6888.32,20260710
40,SHELLY HALL,Mauritania,East Jeremy,Stevens Isle,870,(42)93255-8174,1983-05-20,2024-08-04,PJ,51809.74,20260710
41,MATTHEW MEJIA,Martinique,East Nicholasview,Jessica Pines,80310,(66)42819-9537,1975-09-19,2024-11-11,PJ,53415.03,20260710
42,KELLY VALDEZ,Western Sahara,North Charleschester,Kendra Trafficway,301,(16)59437-6186,1968-03-27,2024-07-17,PJ,82100.40,20260710
43,SARAH JONES,Liechtenstein,New Tiffany,William Village,70450,(68)46724-9692,1989-08-27,2024-07-16,PF,8930.38,20260710
44,HEATHER LEE,Saudi Arabia,Archerview,Hutchinson Rue,320,(80)12928-9087,1993-11-13,2025-04-03,PF,5388.93,20260710
45,KENT REED,Northern Mariana Islands,Davisborough,Juarez Brooks,2800,(78)84133-6961,1994-04-21,2024-04-26,PF,7018.40,20260710
48,KAYLA GOOD,Timor-Leste,Port Victoria,Lisa Shores,662,(30)14766-1027,1951-08-26,2024-06-10,PF,3582.45,20260710
52,MRS. CYNTHIA MORTON,Comoros,Taylormouth,Robert River,8377,(97)44342-3590,1992-07-12,2025-01-26,PJ,88560.81,20260710
54,BARBARA TUCKER,Afghanistan,Tamaraborough,Nguyen Lane,660,(95)20288-5472,1951-05-28,2024-09-08,PF,9485.05,20260710
58,CARMEN MAYS,Mali,Gonzalezstad,Martinez Spurs,77603,(65)24960-7901,1953-06-07,2024-09-12,PF,2178.81,20260710
60,ROSE BURGESS,Guatemala,Robertchester,Cindy Parks,49541,,1958-01-05,2024-04-27,PF,1138.67,20260710
61,MICHAEL KLEIN,Slovenia,East Sarah,Day Mall,862,(35)55330-2346,1962-05-02,2024-08-03,PJ,31529.55,20260710
64,MATTHEW BLEVINS,Romania,New Jeffrey,Hurley Spurs,5092,,1994-04-05,2025-03-04,PJ,32696.81,20260710
65,LINDSAY COPELAND,Dominica,Kathrynside,Sanchez Bypass,6342,(56)56097-9353,1946-05-02,2025-01-15,PF,4539.12,20260710
